marca,modelo,quilometragem,fipe,valor_venda,ano_fabricacao
Fiat,UNO,108035,34016,28676,2014
Fiat,PALIO,126375,29756,25500,2013
Chevrolet,ONIX,48333,50325,43905,2018
Fiat,PALIO,122695,28235,21000,2016
Citroen,C3 AIRCROSS,119578,34745,25071,2011
Ford,FOCUS ,81506,46633,36769,2013
Chevrolet,PRISMA,34106,48604,42121,2019
Renault,SANDERO,80157,36070,31027,2015
Volkswagen,FOX,77276,34735,30225,2014
Mitsubishi,ASX,117050,53146,43392,2013
Chevrolet,ONIX,43274,37413,33613,2015
Volkswagen,AMAROK,132137,77055,64314,2012
Kia,SORENTO,115620,61434,52948,2011
Chevrolet,PRISMA,99170,45251,42536,2015
Fiat,IDEA,81055,29291,23905,2012
Renault,LOGAN,57264,43207,34856,2018
Renault,SANDERO,75024,42779,37042,2018
Fiat,UNO,47154,30053,25903,2015
Volkswagen,GOL,76505,38748,30836,2016
Hyundai,HB20,54987,40378,37574,2014
Volkswagen,VOYAGE,81346,51430,46527,2018
Ford,FIESTA,134817,30660,23487,2014
Mitsubishi,LANCER,99359,47109,37269,2015
Chevrolet,CRUZE,86552,58113,54626,2015
BMW,X1,86445,91249,85774,2014
Nissan,KICKS,73036,77909,75572,2016
Chevrolet,ONIX,77039,37413,34691,2014
Chevrolet,ONIX,86611,44210,42576,2015
Hyundai,VELOSTER,88326,55028,50702,2012
Fiat,SIENA,61727,30730,24762,2013
Renault,DUSTER,130573,41261,38310,2012
Renault,SANDERO,113908,29442,,2014
Volkswagen,VOYAGE,163936,38456,30256,2015
Chevrolet,CORSA,83953,26157,21219,2012
Volkswagen,FOX,45217,44172,,2015
Nissan,SENTRA,48081,77976,,2018
Renault,KWID,55361,43102,37995,2019
Fiat,UNO,129718,26902,24771,2012
Toyota,ETIOS,88115,40583,35430,2014
Renault,SANDERO,106686,33551,,2014
Chevrolet,ONIX,39616,63713,59062,2019
Mitsubishi,LANCER,124487,47240,42074,2014
