marca,modelo,quilometragem,fipe,valor_venda,ano_fabricacao
Chevrolet,CRUZE,90567,51007,48602,2013
Chevrolet,ONIX,108905,40475,31847,2014
Renault,DUSTER,25464,77516,68640,2019
Jeep,COMPASS,88920,100456,97038,2017
Chevrolet,COBALT,55483,51699,49220,2016
Hyundai,HB20,39483,62694,53873,2019
Nissan,VERSA,83819,46969,41951,2018
Hyundai,HB20,91055,45728,37733,2017
Nissan,VERSA,30267,53503,50279,2018
Honda,HR-V,37998,101269,96003,2018
Fiat,STRADA,50227,49382,47654,2014
Volkswagen,VIRTUS,73829,76418,71833,2018
Ford,KA SEDAN,75901,40734,37112,2015
Nissan,MARCH,59602,38482,34165,2016
Chevrolet,ONIX,63623,38900,34933,2015
Citroen,C3,100970,33471,28500,2012
Hyundai,HB20,16803,53281,48615,2018
Kia,OPTIMA,109825,60299,48574,2012
Ford,ECOSPORT,21732,50465,47656,2013
Ford,KA,104987,43751,37000,2017
Hyundai,HB20,51236,55427,52434,2016
Hyundai,HB20,94594,38488,34100,2013
Renault,KWID,65788,42579,39986,2019
Chevrolet,ONIX,86149,42993,40499,2017
Renault,SANDERO,107976,33106,26858,2015
Chevrolet,PRISMA,99504,44818,36657,2018
Chevrolet,ONIX,10697,62632,64198,2020
Volkswagen,UP!,122503,33439,29597,2014
Toyota,ETIOS SEDAN,138171,49834,,2016
Kia,SPORTAGE,75559,67676,62937,2013
Ford,KA,128446,42413,35390,2017
Fiat,PALIO,87940,37181,,2016
Fiat,UNO,130026,31697,,2015
Ford,KA,84659,46483,,2018
Renault,SANDERO,139074,39069,,2017
Ford,KA,109517,46483,,2018
Fiat,MOBI,150902,39304,,2017
Chevrolet,CLASSIC,117015,24749,,2012
Chevrolet,CLASSIC,157840,26486,,2013
Fiat,PALIO,69362,28764,,2014
Volkswagen,VOYAGE,130527,34521,,2013
Fiat,UNO,127426,38540,,2018
Fiat,PALIO WEEKEND,117349,32989,,2014
Fiat,UNO,168870,29114,22423,2014
Fiat,PALIO,80272,28764,,2014
Volkswagen,FOX,86467,31885,27598,2011
Chevrolet,ONIX,176647,43710,,2017
Volkswagen,JETTA,132788,64546,54191,2015
Ford,KA,70328,38271,32733,2015
Renault,SANDERO,84160,38381,32749,2017
Fiat,PUNTO,125961,37875,31854,2015
Hyundai,HB20,139712,38566,32752,2012
Chevrolet,CRUZE,66427,84647,72140,2017
Renault,KWID,83928,38839,32616,2017
Volkswagen,VOYAGE,65301,46517,39113,2017
Renault,SANDERO,116058,33817,,2015
Chevrolet,ONIX,122026,50674,42794,2018
Chevrolet,PRISMA,101301,44244,37971,2014
Volkswagen,VOYAGE,133053,31407,26805,2013
Chevrolet,ONIX,59443,47345,40786,2019
Fiat,FIORINO,41643,70591,66285,2019
Ford,NEW FIESTA HATCH,101295,36785,30121,2013
Nissan,VERSA,95314,41106,33739,2015
Toyota,COROLLA,80035,80507,76917,2014
Fiat,LINEA,116427,32231,26153,2012
Ford,FIESTA,141930,27661,23338,2013
Chevrolet,ONIX,76355,37136,31736,2013
Volkswagen,GOL,59208,41721,33534,2017
Fiat,PALIO,117537,31194,25842,2016
Ford,FIESTA SEDAN,141186,31512,25427,2014
Renault,LOGAN,68171,48157,40120,2018
Volkswagen,GOLF,116782,71268,63806,2013
Ford,NEW FIESTA,68816,38234,35728,2014
Volkswagen,FOX,85561,31488,26833,2012
Volkswagen,FOX,78617,31488,24918,2013
Fiat,STRADA,127542,43201,36494,2015
